Group,ID,Heart Rate,Mass Specific VO2
BM,cal04,96,10.82319352
BM,cal04,119,17.08849945
BM,cal04,162,29.52714369
BM,cal04,138.4,24.41992595
BM,cal04,108.6,11.32590072
BM,cal04,142.4,22.19292468
BM,cal04,111.2,15.43768276
BM,cal04,165.5,32.23001291
BM,cal04,94.6,9.446068729
BM,cal04,110.2,12.65669524
BM,cal04,120.2,17.62573061
BM,cal04,122.8,18.60389921
BM,cal04,98.75,11.30324989
BM,cal05,107.2,12.32572747
BM,cal05,134.4,27.47494185
BM,cal05,164.2,35.39624212
BM,cal05,98.8,14.427767
BM,cal05,94.4,9.352895395
BM,cal05,110,14.82032992
BM,cal05,121.2,18.51955022
BM,cal05,128.8,21.92267291
BM,cal05,97.2,8.621954341
BM,cal05,161.8,29.7136921
BM,cal05,143.2,25.05574908
BM,cal05,111.8,16.14109579
BM,cal05,87.4,7.255497986
BM,cal06,81.6,10.51507178
BM,cal06,142,27.7657025
BM,cal06,158,36.8225503
BM,cal06,173.2,34.8275459
BM,cal06,86.6,10.68767905
BM,cal06,142.6,29.65459304
BM,cal06,123,20.29720885
BM,cal06,104.4,16.05799615
BM,cal06,102,10.74719678
BM,cal06,137,25.16336534
BM,cal06,191.2,37.98111404
BM,cal06,118.4,17.61711131
BM,cal06,92,8.491311214
BM,cal08,89.2,9.472545204
BM,cal08,126.2,31.82301206
BM,cal08,152.4,31.43970594
BM,cal08,105,14.75450569
BM,cal08,98,10.08117585
BM,cal08,112.6,16.27678183
BM,cal08,139.8,26.13744074
BM,cal08,125,20.07773967
BM,cal08,102.4,8.950108017
BM,cal08,131.4,24.25308001
BM,cal08,123.8,20.01761544
BM,cal08,147.2,26.65325947
BM,cal08,102,11.24126774
BM,cal09,74.8,9.854416399
BM,cal09,118.4,29.24545432
BM,cal09,126.2,28.91505475
BM,cal09,119.6,28.02932808
BM,cal09,66.6,10.48228653
BM,cal09,133,31.7126271
BM,cal09,109.2,24.4591087
BM,cal09,127.2,31.85392344
BM,cal09,68.2,9.564911771
BM,cal09,81.8,14.32045771
BM,cal09,143.2,33.09167332
BM,cal09,111.4,21.55631739
BM,cal09,74.6,8.759498123
BM,cal10,72,12.36167689
BM,cal10,125.2,29.81888206
BM,cal10,153.4,35.55453983
BM,cal10,117.4,33.21603622
BM,cal10,64.6,11.45186858
BM,cal10,124.8,28.40853754
BM,cal10,116,25.92572219
BM,cal10,84.6,15.71147127
BM,cal10,154,38.17497207
BM,cal10,126,34.34911111
BM,cal10,85.6,10.34404092
BM,cal24,88.2,12.44690564
BM,cal24,126.8,12.51462038
BM,cal24,173.8,38.49933908
BM,cal24,108.8,16.81534837
BM,cal24,104.4,12.41959509
BM,cal24,135.4,26.96992259
BM,cal24,175.8,40.13826932
BM,cal24,140,27.05498733
BM,cal24,91.2,14.37829107
BM,cal24,118.2,21.63977995
BM,cal24,148.6,30.16074138
BM,cal24,113.8,18.93057429
BM,cal24,92,11.46895796
BM,cal25,107.2,13.0490123
BM,cal25,129,24.37506121
BM,cal25,158.4,33.56303692
BM,cal25,95.6,16.21016188
BM,cal25,131.2,26.28562775
BM,cal25,117.2,18.15976178
BM,cal25,125.8,22.55712178
BM,cal25,118.2,13.96707573
BM,cal25,146.8,27.33596109
BM,cal25,130.1,18.37876166
BM,cal25,147.4,28.88479281
BM,cal25,128.4,10.93854327
BM,cal28,99.4,9.357596156
BM,cal28,148,32.57782655
BM,cal28,154,31.67418272
BM,cal28,126.4,25.19567867
BM,cal28,88.8,10.47925117
BM,cal28,110,19.55109606
BM,cal28,141.4,29.11862662
BM,cal28,102.8,14.61710962
BM,cal28,101.8,12.8165559
BM,cal28,129.8,24.01736821
BM,cal28,162,34.18867741
BM,cal28,121.6,22.95625312
BM,cal28,105.9,11.86533698
BF,cal12,113.6,10.92132096
BF,cal12,184.6,33.37211426
BF,cal12,130.6,17.03611602
BF,cal12,169.2,19.8188268
BF,cal12,124.2,13.24620942
BF,cal12,183,35.1193994
BF,cal12,136.2,20.65408301
BF,cal12,141.4,23.80344676
BF,cal12,123.6,11.52608571
BF,cal12,156,24.1730916
BF,cal12,139.6,20.35974686
BF,cal12,131,16.15484745
BF,cal12,104,8.721222175
